WRISTX,WRISTY,THUMB_CMCX,THUMB_CMCY,THUMB_MCPX,THUMB_MCPY,THUMB_IPX,THUMB_IPY,THUMB_TIPX,THUMB_TIPY,INDEX_FINGER_MCPX,INDEX_FINGER_MCPY,INDEX_FINGER_PIPX,INDEX_FINGER_PIPY,INDEX_FINGER_DIPX,INDEX_FINGER_DIPY,INDEX_FINGER_TIPX,INDEX_FINGER_TIPY,MIDDLE_FINGER_MCPX,MIDDLE_FINGER_MCPY,MIDDLE_FINGER_PIPX,MIDDLE_FINGER_PIPY,MIDDLE_FINGER_DIPX,MIDDLE_FINGER_DIPY,MIDDLE_FINGER_TIPX,MIDDLE_FINGER_TIPY,RING_FINGER_MCPX,RING_FINGER_MCPY,RING_FINGER_PIPX,RING_FINGER_PIPY,RING_FINGER_DIPX,RING_FINGER_DIPY,RING_FINGER_TIPX,RING_FINGER_TIPY,PINKY_MCPX,PINKY_MCPY,PINKY_PIPX,PINKY_PIPY,PINKY_DIPX,PINKY_DIPY,PINKY_TIPX,PINKY_TIPY
0.0,0.0,0.04411764705882353,-0.24019607843137256,-0.08333333333333333,-0.5196078431372549,-0.35294117647058826,-0.696078431372549,-0.5686274509803921,-0.7794117647058824,0.0,-0.5882352941176471,-0.4264705882352941,-0.7990196078431373,-0.6666666666666666,-0.9117647058823529,-0.8578431372549019,-1.0,-0.15196078431372548,-0.46568627450980393,-0.6078431372549019,-0.6862745098039216,-0.5441176470588235,-0.6176470588235294,-0.4117647058823529,-0.5441176470588235,-0.3137254901960784,-0.3431372549019608,-0.7107843137254902,-0.5735294117647058,-0.6372549019607843,-0.5098039215686274,-0.5049019607843137,-0.43137254901960786,-0.46568627450980393,-0.23039215686274508,-0.75,-0.4411764705882353,-0.6813725490196079,-0.4068627450980392,-0.5833333333333334,-0.35294117647058826
0.0,0.0,0.039603960396039604,-0.24752475247524752,-0.08415841584158416,-0.5198019801980198,-0.33663366336633666,-0.698019801980198,-0.5445544554455446,-0.7772277227722773,0.0,-0.5841584158415841,-0.43564356435643564,-0.7970297029702971,-0.6782178217821783,-0.9108910891089109,-0.8762376237623762,-1.0,-0.15841584158415842,-0.46534653465346537,-0.6188118811881188,-0.6831683168316832,-0.5544554455445545,-0.6237623762376238,-0.41089108910891087,-0.5396039603960396,-0.32673267326732675,-0.35148514851485146,-0.7227722772277227,-0.5742574257425742,-0.6435643564356436,-0.504950495049505,-0.504950495049505,-0.4306930693069307,-0.4801980198019802,-0.23267326732673269,-0.7673267326732673,-0.4405940594059406,-0.693069306930693,-0.400990099009901,-0.5891089108910891,-0.3465346534653465
0.0,0.0,0.04975124378109453,-0.24378109452736318,-0.07960199004975124,-0.5174129353233831,-0.3333333333333333,-0.6915422885572139,-0.5522388059701493,-0.7661691542288557,0.0,-0.582089552238806,-0.43781094527363185,-0.8009950248756219,-0.6716417910447762,-0.9104477611940298,-0.8656716417910447,-1.0,-0.15920398009950248,-0.46766169154228854,-0.6218905472636815,-0.6865671641791045,-0.5572139303482587,-0.6218905472636815,-0.4129353233830846,-0.5472636815920398,-0.3283582089552239,-0.35323383084577115,-0.7263681592039801,-0.5771144278606966,-0.6467661691542289,-0.5074626865671642,-0.5124378109452736,-0.43781094527363185,-0.48258706467661694,-0.23383084577114427,-0.7661691542288557,-0.44776119402985076,-0.6965174129353234,-0.4079601990049751,-0.5920398009950248,-0.35323383084577115
0.0,0.0,0.045,-0.24,-0.08,-0.515,-0.335,-0.695,-0.55,-0.765,0.0,-0.58,-0.435,-0.8,-0.68,-0.91,-0.875,-1.0,-0.155,-0.46,-0.62,-0.685,-0.55,-0.615,-0.41,-0.54,-0.325,-0.345,-0.725,-0.575,-0.65,-0.505,-0.51,-0.43,-0.485,-0.24,-0.77,-0.445,-0.695,-0.4,-0.595,-0.345
0.0,0.0,0.04950495049504951,-0.24257425742574257,-0.08415841584158416,-0.5198019801980198,-0.33663366336633666,-0.6881188118811881,-0.5544554455445545,-0.7623762376237624,0.0,-0.5792079207920792,-0.4306930693069307,-0.7970297029702971,-0.6683168316831684,-0.905940594059406,-0.8663366336633663,-1.0,-0.15346534653465346,-0.4603960396039604,-0.6089108910891089,-0.6782178217821783,-0.5396039603960396,-0.6138613861386139,-0.400990099009901,-0.5396039603960396,-0.31683168316831684,-0.3415841584158416,-0.7178217821782178,-0.5742574257425742,-0.6336633663366337,-0.5,-0.49504950495049505,-0.42574257425742573,-0.4752475247524752,-0.22772277227722773,-0.7574257425742574,-0.43564356435643564,-0.6831683168316832,-0.400990099009901,-0.5841584158415841,-0.3415841584158416
0.0,0.0,0.05,-0.24,-0.08,-0.515,-0.335,-0.685,-0.555,-0.755,0.0,-0.575,-0.435,-0.795,-0.68,-0.91,-0.875,-1.0,-0.16,-0.46,-0.62,-0.685,-0.56,-0.62,-0.42,-0.545,-0.32,-0.345,-0.725,-0.575,-0.65,-0.505,-0.51,-0.43,-0.48,-0.23,-0.77,-0.445,-0.7,-0.405,-0.595,-0.345
0.0,0.0,0.05154639175257732,-0.23711340206185566,-0.08247422680412371,-0.5051546391752577,-0.33505154639175255,-0.6701030927835051,-0.5567010309278351,-0.7525773195876289,0.0,-0.5670103092783505,-0.4536082474226804,-0.7938144329896907,-0.6958762886597938,-0.9072164948453608,-0.8969072164948454,-1.0,-0.17010309278350516,-0.4587628865979381,-0.6391752577319587,-0.6855670103092784,-0.5670103092783505,-0.6237113402061856,-0.42783505154639173,-0.5463917525773195,-0.3402061855670103,-0.34536082474226804,-0.7525773195876289,-0.5876288659793815,-0.6701030927835051,-0.520618556701031,-0.5257731958762887,-0.4381443298969072,-0.5051546391752577,-0.23711340206185566,-0.788659793814433,-0.4587628865979381,-0.7164948453608248,-0.42783505154639173,-0.6082474226804123,-0.36597938144329895
0.0,0.0,0.05851063829787234,-0.2393617021276596,-0.07446808510638298,-0.4946808510638298,-0.3351063829787234,-0.6702127659574468,-0.5638297872340425,-0.75,0.0,-0.5478723404255319,-0.4574468085106383,-0.7819148936170213,-0.7127659574468085,-0.9042553191489362,-0.925531914893617,-1.0,-0.18085106382978725,-0.44148936170212766,-0.648936170212766,-0.6914893617021277,-0.5691489361702128,-0.6329787234042553,-0.42021276595744683,-0.5585106382978723,-0.35638297872340424,-0.3351063829787234,-0.7659574468085106,-0.5904255319148937,-0.6808510638297872,-0.5372340425531915,-0.5319148936170213,-0.4574468085106383,-0.5212765957446809,-0.2393617021276596,-0.8085106382978723,-0.46808510638297873,-0.723404255319149,-0.44680851063829785,-0.6117021276595744,-0.3882978723404255
0.0,0.0,0.06741573033707865,-0.21910112359550563,-0.07303370786516854,-0.48314606741573035,-0.34269662921348315,-0.6573033707865169,-0.5786516853932584,-0.7471910112359551,0.0,-0.5112359550561798,-0.4887640449438202,-0.7640449438202247,-0.7640449438202247,-0.898876404494382,-0.9887640449438202,-1.0,-0.19101123595505617,-0.4157303370786517,-0.6910112359550562,-0.6853932584269663,-0.5955056179775281,-0.6348314606741573,-0.4438202247191011,-0.5561797752808989,-0.37640449438202245,-0.3202247191011236,-0.8146067415730337,-0.601123595505618,-0.7191011235955056,-0.550561797752809,-0.5674157303370787,-0.46629213483146065,-0.5561797752808989,-0.23595505617977527,-0.8595505617977528,-0.47752808988764045,-0.7584269662921348,-0.4550561797752809,-0.6404494382022472,-0.398876404494382
0.0,0.0,0.07647058823529412,-0.20588235294117646,-0.07058823529411765,-0.4588235294117647,-0.3588235294117647,-0.6352941176470588,-0.6058823529411764,-0.7294117647058823,0.0,-0.4764705882352941,-0.48823529411764705,-0.7411764705882353,-0.7647058823529411,-0.8823529411764706,-1.0,-0.9941176470588236,-0.19411764705882353,-0.3941176470588235,-0.7058823529411765,-0.6941176470588235,-0.6,-0.6470588235294118,-0.45294117647058824,-0.5705882352941176,-0.3941176470588235,-0.3235294117647059,-0.8352941176470589,-0.6235294117647059,-0.7235294117647059,-0.5705882352941176,-0.5764705882352941,-0.48823529411764705,-0.5823529411764706,-0.25882352941176473,-0.888235294117647,-0.5058823529411764,-0.788235294117647,-0.48823529411764705,-0.6647058823529411,-0.4235294117647059
